start	end	text
273	7417	Lascio la qua a stare per un stagno.
7437	8057	Ah, va bene.
8338	9638	No, il dedico è andato in bagno.
9658	14501	Ah, ok, era arrivato un ralazzo e alla seconda.
14541	16983	Dobbiamo fare ancora la pello e inserire le ore.
17363	18363	Non abbiamo fatto la pelle?
18383	18503	No.
18904	21005	Più o meno le ore hai inserito.
22466	24247	È perché hai iniziato subito con...
29844	30625	un ragazzo è arrivato
42469	57414	è perché dalle 21.50 hai accennato qualcosa, hai accennato qualcosa?
57434	68557	Sì, sì, io ho chiesto, ha detto, per il momento, va bene, secondo me, che poi dopo non indipende, ha detto no, non ti preoccupare, perché poi dopo te le fanno recuperare con sportelli o quant'altro, non lo so.
69501	73144	ora che?
74085	75086	carta canta?
79150	82833	va aspetta questo da dopo eh?
83453	84915	vabbè non la verifichiamo?
85195	85375	già!
86036	87097	verifica scritta
92568	97653	Siamo sicuri che si spegne?
97713	99715	Sì, siamo sicuri che si spegne.
99815	100635	E' inglese!
101316	106941	Vabbè, essere come le altre... Vabbè, sì, era già super.
107101	109363	Ma scusa, ma è solo così?
109463	110685	Non è bello.
110725	113207	Mi ricordo che si mi ha parlato anche a te.
113247	114388	Io ho parlato solo di TV.
115998	117078	Con TGV è un segment, si chiama segment vitale.
135118	140141	Nel momento della panza lunga è arrivato il ragazzo che sta seduto lì.
166220	170965	Ti ricordi quella cosa che ci siamo detti sul passaggio dal strato a strato?
171705	172046	Sì, sì.
172206	173848	Hai avuto modo di verificare?
173988	176210	No, non ho avuto modo di verificare.
189185	195330	io a favore si chiede la struttura di delinquenti, hai visto la versione?
195390	198273	si, ha tutto un blocchetto di blocchi
216630	217350	Dice qualsiasi presenti zero, perché?
217370	218350	E vabbè però c'è la presenza alla prima ora.
218370	221331	Ma no, perché la città ci aveva detto venite in quinta e poi venete andando a casa.
221371	222751	In quinta possiamo andare.
246081	246621	Non l'aveva detto prima?
246641	247402	Sì, ma l'ha capito solo lui.
247502	247942	La cosa?
247962	250744	Non l'ha capita un po'.
250764	254487	No, perché l'ho scritto poi ieri sera, sono uscito di paio per trovare un momento, aspettavo un po'.
255908	257729	Ah, il Fezzeri di laboratorio?
257769	259290	No, il Fezzeri di laboratorio.
259330	263813	Venite in Quinta a fare questa parte d'ora, e poi venete andate a casa.
264033	264613	Ah!
265274	266094	Che non aveva senso.
266234	269497	Ma hai domandato quella che non ci ha chiamato?
269537	269817	Quindi?
270937	271698	In che senso quindi?
271980	273481	Non è venuto da me.
274702	279825	Dove cazzo si entra?
279885	293072	Lui ci ha detto, venite dopo l'intervallo in quinta, anche dopo l'ora con quello di telecomunicazione, venite in quinta, facciamo un'ora lì e poi venite andate a casa.
294313	295554	Non l'ha capito solo lui.
295594	298856	Sì l'ha capito solo lui e noi non ci ha detto niente, infatti siamo stati tutta l'ora
299531	301433	Noi due collaborò, sì.
301493	303915	Loro con... Di Donato.
303935	305216	Di Donato, eh.
305276	306977	E poi, vedi, abbiamo fatto l'ultima, no?
307077	308718	Quello stessa cosa.
310099	311020	Sì, eh.
311380	312021	Questo è il mio.
312321	313122	C'era il mio invieto.
313142	315303	Eh, ma cosa stai facendo?
316564	317425	Ah, no.
317645	319427	Stavo... E' andretto andato a me in morte, così.
319547	320788	E' andretto andato a me in morte, così.
327722	328342	Non è più semplice.
328462	329603	Non è più semplice.
329643	331224	Non è più semplice.
331264	332865	Non è più semplice.
332905	334226	Non è più semplice.
334286	335607	Non è più semplice.
352524	364573	Allora fermi un attimo, fermi fermi fermi fermi fermi fermi un attimo e le cose che discorso sui template ce n'erano un po' e qui eh
381883	410388	La cosa che vi chiedo di fare adesso, quindi qui ci sono ovviamente, c'è la parte teorica, c'è la parte teorica, infatti, sì, lui parte prima dalle classi template e poi sviluppa le funzioni template, quindi in pratica, questo è proprio l'esempio, vabbè, uno degli esempi che abbiamo visto qui,
412540	435147	Quindi, se il suggerimento che vi do è 1, prima di chiedere a Certo e GPT, intanto è il tempo verso, intanto faccio un'idea, consolidare l'idea di template, di classe template, di funzione template, andando a vedere ulteriormente questi appunti.
437009	438290	Dove di che entra?
439530	444353	La cosa che potete chiedere a certe ricettive che vi proponga degli esercizi da fare.
445553	448675	Quindi voi interagite con lui.
449355	452577	Cercate di chiedere anche tutte quelle cose che non sono chiare.
455178	463282	In particolare, cercate di chiedere anche a lui se avete capito bene.
466198	473060	Perché il fatto che voi vi convinceate di aver capito è una cosa che sta solamente nella vostra testa.
474901	481803	Quindi usatelo anche come strumento di consulenza.
484104	486885	E quindi dire, ok, io credo di aver capito.
487105	492847	Potete chiedermi qualunque cosa in qualunque ligno, tanto lui appunto una risposta vera dà.
493507	495708	Però è molto utile come metodo di studio.
497546	509576	Quindi verificare se avete capito bene e colto il senso del concetto.
511377	522246	La cosa che vorrei che facesse adesso, ve l'ho detto all'inizio, vorrei che facesse qualche prova sulla tradizione delle eccezioni.
